Наименование груза;Ед. изм.;Год;Значение;Показатель
Уголь каменный;млн.тонн;2018;374,884713;Погрузка
Уголь каменный;млн.тонн;2019;371,999;Погрузка
Уголь каменный;млн.тонн;2020;353,254372;Погрузка
Уголь каменный;млн.тонн;2021;371,66039;Погрузка
Уголь каменный;млн.тонн;2022;354,400593;Погрузка
Уголь каменный;млн.тонн;2023;320,946658;Погрузка
Уголь каменный;млн.тонн;2024;336,6;Погрузка
Уголь каменный;млн.тонн;2025;354,7;Погрузка
Уголь каменный;млн.тонн;2026;381,6;Погрузка
Уголь каменный;млн.тонн;2027;391,6;Погрузка
Уголь каменный;млн.тонн;2028;394,1;Погрузка
Уголь каменный;млн.тонн;2029;407;Погрузка
Уголь каменный;млн.тонн;2030;420,2849;Погрузка
Уголь каменный;млн.тонн;2031;420,2849;Погрузка
Уголь каменный;млн.тонн;2032;462,94051;Погрузка
Уголь каменный;млн.тонн;2033;462,94051;Погрузка
Уголь каменный;млн.тонн;2034;462,94051;Погрузка
Уголь каменный;млн.тонн;2035;462,94051;Погрузка
Кокс каменноугольный;млн.тонн;2018;11,252218;Погрузка
Кокс каменноугольный;млн.тонн;2019;10,762;Погрузка
Кокс каменноугольный;млн.тонн;2020;11,192873;Погрузка
Кокс каменноугольный;млн.тонн;2021;12,034458;Погрузка
Кокс каменноугольный;млн.тонн;2022;10,144067;Погрузка
Кокс каменноугольный;млн.тонн;2023;10,193197;Погрузка
Кокс каменноугольный;млн.тонн;2024;10,8;Погрузка
Кокс каменноугольный;млн.тонн;2025;11;Погрузка
Кокс каменноугольный;млн.тонн;2026;12,127;Погрузка
Кокс каменноугольный;млн.тонн;2027;12,256;Погрузка
Кокс каменноугольный;млн.тонн;2028;12,387;Погрузка
Кокс каменноугольный;млн.тонн;2029;12,619;Погрузка
Кокс каменноугольный;млн.тонн;2030;12,754;Погрузка
Кокс каменноугольный;млн.тонн;2031;12,891;Погрузка
Кокс каменноугольный;млн.тонн;2032;13,03;Погрузка
Кокс каменноугольный;млн.тонн;2033;13,17;Погрузка
Кокс каменноугольный;млн.тонн;2034;13,312;Погрузка
Кокс каменноугольный;млн.тонн;2035;13,456;Погрузка
Нефть и нефтепродукты;млн.тонн;2018;236,447458;Погрузка
Нефть и нефтепродукты;млн.тонн;2019;232,008;Погрузка
Нефть и нефтепродукты;млн.тонн;2020;208,823201;Погрузка
Нефть и нефтепродукты;млн.тонн;2021;217,508634;Погрузка
Нефть и нефтепродукты;млн.тонн;2022;215,97843;Погрузка
Нефть и нефтепродукты;млн.тонн;2023;211,421591;Погрузка
Нефть и нефтепродукты;млн.тонн;2024;216,2;Погрузка
Нефть и нефтепродукты;млн.тонн;2025;222,1;Погрузка
Нефть и нефтепродукты;млн.тонн;2026;231,205;Погрузка
Нефть и нефтепродукты;млн.тонн;2027;234,044;Погрузка
Нефть и нефтепродукты;млн.тонн;2028;236,813;Погрузка
Нефть и нефтепродукты;млн.тонн;2029;239,707;Погрузка
Нефть и нефтепродукты;млн.тонн;2030;242,211;Погрузка
Нефть и нефтепродукты;млн.тонн;2031;244,57;Погрузка
Нефть и нефтепродукты;млн.тонн;2032;247,889;Погрузка
Нефть и нефтепродукты;млн.тонн;2033;250,295;Погрузка
Нефть и нефтепродукты;млн.тонн;2034;252,635;Погрузка
Нефть и нефтепродукты;млн.тонн;2035;254,906;Погрузка
Руды металлические;млн.тонн;2018;136,402934;Погрузка
Руды металлические;млн.тонн;2019;139,799;Погрузка
Руды металлические;млн.тонн;2020;139,641832;Погрузка
Руды металлические;млн.тонн;2021;139,651454;Погрузка
