Наименование груза ЦО-12;Направление;Вид сообщения;Грузооборот_2026, тыс. ткм;Распределение по направлению;Год;Грузооборот, млрд. ткм;Индекс грузооборота
Грузы на своих осях;Восток;внутрироссийское;48054333,4;0,158253698;2027;46,48983583;0,967443153
Грузы на своих осях;Восток;внутрироссийское;48054333,4;0,158253698;2028;46,56768258;0,969063127
Грузы на своих осях;Восток;внутрироссийское;48054333,4;0,158253698;2029;46,57233774;0,96916
Грузы на своих осях;Восток;внутрироссийское;48054333,4;0,158253698;2030;46,5680621;0,969071025
Грузы на своих осях;Северо-Запад;внутрироссийское;35488879,06;0,116872839;2027;34,33347306;0,967443153
Грузы на своих осях;Северо-Запад;внутрироссийское;35488879,06;0,116872839;2028;34,3909641;0,969063127
Грузы на своих осях;Северо-Запад;внутрироссийское;35488879,06;0,116872839;2029;34,39440202;0,96916
Грузы на своих осях;Северо-Запад;внутрироссийское;35488879,06;0,116872839;2030;34,39124439;0,969071025
Грузы на своих осях;Юг;внутрироссийское;220110566,1;0,724873463;2027;212,9444602;0,967443153
Грузы на своих осях;Юг;внутрироссийское;220110566,1;0,724873463;2028;213,3010335;0,969063127
Грузы на своих осях;Юг;внутрироссийское;220110566,1;0,724873463;2029;213,3223562;0,96916
Грузы на своих осях;Юг;внутрироссийское;220110566,1;0,724873463;2030;213,3027718;0,969071025
Зерно и продукты перемола;Восток;внутрироссийское;7353499,452;0,17022588;2027;5,556598292;0,755639995
Зерно и продукты перемола;Восток;внутрироссийское;7353499,452;0,17022588;2028;5,645966879;0,767793201
Зерно и продукты перемола;Восток;внутрироссийское;7353499,452;0,17022588;2029;5,650222526;0,768371925
Зерно и продукты перемола;Восток;внутрироссийское;7353499,452;0,17022588;2030;5,654478173;0,768950649
Зерно и продукты перемола;Северо-Запад;внутрироссийское;18588692,53;0,430308939;2027;14,04635954;0,755639995
Зерно и продукты перемола;Северо-Запад;внутрироссийское;18588692,53;0,430308939;2028;14,27227173;0,767793201
Зерно и продукты перемола;Северо-Запад;внутрироссийское;18588692,53;0,430308939;2029;14,28302945;0,768371925
Зерно и продукты перемола;Северо-Запад;внутрироссийское;18588692,53;0,430308939;2030;14,29378718;0,768950649
Зерно и продукты перемола;Юг;внутрироссийское;17256289,04;0,399465181;2027;13,03954217;0,755639995
Зерно и продукты перемола;Юг;внутрироссийское;17256289,04;0,399465181;2028;13,24926139;0,767793201
Зерно и продукты перемола;Юг;внутрироссийское;17256289,04;0,399465181;2029;13,25924802;0,768371925
Зерно и продукты перемола;Юг;внутрироссийское;17256289,04;0,399465181;2030;13,26923465;0,768950649
Кокс каменноугольный;Восток;внутрироссийское;3738129,396;0,122167514;2027;2,509638382;0,671362095
Кокс каменноугольный;Восток;внутрироссийское;3738129,396;0,122167514;2028;2,541401936;0,679859274
Кокс каменноугольный;Восток;внутрироссийское;3738129,396;0,122167514;2029;2,57316549;0,688356453
Кокс каменноугольный;Восток;внутрироссийское;3738129,396;0,122167514;2030;2,604929044;0,696853631
Кокс каменноугольный;Северо-Запад;внутрироссийское;9121166,351;0,298093004;2027;6,12360535;0,671362095
Кокс каменноугольный;Северо-Запад;внутрироссийское;9121166,351;0,298093004;2028;6,201109531;0,679859274
Кокс каменноугольный;Северо-Запад;внутрироссийское;9121166,351;0,298093004;2029;6,278613712;0,688356453
Кокс каменноугольный;Северо-Запад;внутрироссийское;9121166,351;0,298093004;2030;6,356117893;0,696853631
Кокс каменноугольный;Юг;внутрироссийское;17739095,43;0,579739481;2027;11,90935627;0,671362095
Кокс каменноугольный;Юг;внутрироссийское;17739095,43;0,579739481;2028;12,06008853;0,679859274
Кокс каменноугольный;Юг;внутрироссийское;17739095,43;0,579739481;2029;12,2108208;0,688356453
Кокс каменноугольный;Юг;внутрироссийское;17739095,43;0,579739481;2030;12,36155306;0,696853631
Лесные грузы;Восток;внутрироссийское;5414804,433;0,178442982;2027;4,309606805;0,795893344
Лесные грузы;Восток;внутрироссийское;5414804,433;0,178442982;2028;4,403852359;0,813298506
Лесные грузы;Восток;внутрироссийское;5414804,433;0,178442982;2029;4,482084439;0,827746319
Лесные грузы;Восток;внутрироссийское;5414804,433;0,178442982;2030;4,544035381;0,83918735
Лесные грузы;Северо-Запад;внутрироссийское;15588326,59;0,51370784;2027;12,40664537;0,795893344
Лесные грузы;Северо-Запад;внутрироссийское;15588326,59;0,51370784;2028;12,67796274;0,813298506
Лесные грузы;Северо-Запад;внутрироссийское;15588326,59;0,51370784;2029;12,90317996;0,827746319
Лесные грузы;Северо-Запад;внутрироссийское;15588326,59;0,51370784;2030;13,08152648;0,83918735
