row_index,Груз,Год,Вид сообщения,Направление,"Погрузка, млн. т","Погрузка базовая, млн. т","Грузооборот, млрд. ткм","Грузооборот базовый, млрд. ткм",Средняя дальность,Грузооборот 2019,Индекс грузооборота,Индекс перевезено
10,Уголь каменный,2020,внутрироссийское,в целом,153.6,153.6,157.8,157.8,1021.0,179.1,0.88089425,0.993743171058906
11,Кокс каменноугольный,2020,внутрироссийское,в целом,7.4,7.4,20.4,20.4,2746.0,18.5,1.104408489,0.9970007651150592
12,Нефть и нефтепродукты,2020,внутрироссийское,в целом,117.8,117.8,185.0,185.0,1516.0,211.1,0.876353292,0.9649881019077085
13,Руды металлические,2020,внутрироссийское,в целом,110.8,110.8,109.6,109.6,984.0,115.9,0.945582561,0.994850318174006
14,Черные металлы,2020,внутрироссийское,в целом,38.0,38.0,62.6,62.6,1242.0,65.9,0.951023407,0.7536912461767045
15,Лесные грузы,2020,внутрироссийское,в целом,20.7,20.7,18.1,18.1,858.0,17.0,1.067165018,0.9796837354096231
16,Минерально-строительные материалы,2020,внутрироссийское,в целом,192.9,192.9,192.7,192.7,892.0,186.9,1.031270504,0.8931326469394381
17,Химические и минеральные удобрения,2020,внутрироссийское,в целом,26.4,26.4,48.8,48.8,1828.0,45.8,1.064756146,0.9901455873698952
18,Зерно и продукты перемола,2020,внутрироссийское,в целом,13.1,13.1,25.4,25.4,1918.0,27.3,0.931570599,0.9865389979207873
19,Прочие,2020,внутрироссийское,в целом,88.9,88.9,147.8,147.8,2064.0,149.5,0.988143848,1.2420915313237195
20,Уголь каменный,2021,внутрироссийское,в целом,156.6,156.6,167.5,167.5,1067.0,179.1,0.935368636,0.9970391338410196
21,Кокс каменноугольный,2021,внутрироссийское,в целом,7.9,7.9,21.4,21.4,2715.0,18.5,1.157490587,1.0045468602340664
22,Нефть и нефтепродукты,2021,внутрироссийское,в целом,126.1,126.1,197.6,197.6,1532.0,211.1,0.936115165,0.976991310555802
23,Руды металлические,2021,внутрироссийское,в целом,112.1,112.1,107.3,107.3,954.0,115.9,0.925165043,0.9969517689392305
24,Черные металлы,2021,внутрироссийское,в целом,39.6,39.6,63.1,63.1,1243.0,65.9,0.957717063,0.7808571290667974
25,Лесные грузы,2021,внутрироссийское,в целом,22.4,22.4,19.3,19.3,848.0,17.0,1.140488286,0.9840248245412352
26,Минерально-строительные материалы,2021,внутрироссийское,в целом,191.4,191.4,192.2,192.2,913.0,186.9,1.028832118,0.9091624599584615
