row_index;Груз;Год;Вид сообщения;Направление;Погрузка, млн. т;Погрузка базовая, млн. т;Грузооборот, млрд. ткм;Грузооборот базовый, млрд. ткм;Средняя дальность;Грузооборот 2019;Индекс грузооборота
0;Уголь каменный;2019;внутрироссийское;в целом;163,7;163,7;179,1;179,1;1088;179,1;1
1;Кокс каменноугольный;2019;внутрироссийское;в целом;7,1;7,1;18,5;18,5;2596;18,5;1
2;Нефть и нефтепродукты;2019;внутрироссийское;в целом;133,9;133,9;211,1;211,1;1524;211,1;1
3;Руды металлические;2019;внутрироссийское;в целом;116,5;116,5;115,9;115,9;991;115,9;1
4;Черные металлы;2019;внутрироссийское;в целом;44,8;44,8;65,9;65,9;1170;65,9;1
5;Лесные грузы;2019;внутрироссийское;в целом;19,3;19,3;17,0;17,0;856;17,0;1
6;Минерально-строительные материалы;2019;внутрироссийское;в целом;189,3;189,3;186,9;186,9;883;186,9;1
7;Химические и минеральные удобрения;2019;внутрироссийское;в целом;24,8;24,8;45,8;45,8;1829;45,8;1
8;Зерно и продукты перемола;2019;внутрироссийское;в целом;11,7;11,7;27,3;27,3;2273;27,3;1
9;Прочие;2019;внутрироссийское;в целом;88,6;88,6;149,5;149,5;2059;149,5;1
10;Уголь каменный;2020;внутрироссийское;в целом;153,6;153,6;157,8;157,8;1021;179,1;0,88089425
11;Кокс каменноугольный;2020;внутрироссийское;в целом;7,4;7,4;20,4;20,4;2746;18,5;1,104408489
12;Нефть и нефтепродукты;2020;внутрироссийское;в целом;117,8;117,8;185,0;185,0;1516;211,1;0,876353292
13;Руды металлические;2020;внутрироссийское;в целом;110,8;110,8;109,6;109,6;984;115,9;0,945582561
14;Черные металлы;2020;внутрироссийское;в целом;38,0;38,0;62,6;62,6;1242;65,9;0,951023407
15;Лесные грузы;2020;внутрироссийское;в целом;20,7;20,7;18,1;18,1;858;17,0;1,067165018
16;Минерально-строительные материалы;2020;внутрироссийское;в целом;192,9;192,9;192,7;192,7;892;186,9;1,031270504
17;Химические и минеральные удобрения;2020;внутрироссийское;в целом;26,4;26,4;48,8;48,8;1828;45,8;1,064756146
18;Зерно и продукты перемола;2020;внутрироссийское;в целом;13,1;13,1;25,4;25,4;1918;27,3;0,931570599
19;Прочие;2020;внутрироссийское;в целом;88,9;88,9;147,8;147,8;2064;149,5;0,988143848
20;Уголь каменный;2021;внутрироссийское;в целом;156,6;156,6;167,5;167,5;1067;179,1;0,935368636
21;Кокс каменноугольный;2021;внутрироссийское;в целом;7,9;7,9;21,4;21,4;2715;18,5;1,157490587
22;Нефть и нефтепродукты;2021;внутрироссийское;в целом;126,1;126,1;197,6;197,6;1532;211,1;0,936115165
23;Руды металлические;2021;внутрироссийское;в целом;112,1;112,1;107,3;107,3;954;115,9;0,925165043
24;Черные металлы;2021;внутрироссийское;в целом;39,6;39,6;63,1;63,1;1243;65,9;0,957717063
25;Лесные грузы;2021;внутрироссийское;в целом;22,4;22,4;19,3;19,3;848;17,0;1,140488286
26;Минерально-строительные материалы;2021;внутрироссийское;в целом;191,4;191,4;192,2;192,2;913;186,9;1,028832118
27;Химические и минеральные удобрения;2021;внутрироссийское;в целом;26,3;26,3;49,5;49,5;1867;45,8;1,079000425
28;Зерно и продукты перемола;2021;внутрироссийское;в целом;13,0;13,0;27,3;27,3;2066;27,3;0,998836083
29;Прочие;2021;внутрироссийское;в целом;97,3;97,3;161,6;161,6;2116;149,5;1,080936618
30;Уголь каменный;2022;внутрироссийское;в целом;157,3;157,3;175,5;175,5;1111;179,1;0,980012243
31;Кокс каменноугольный;2022;внутрироссийское;в целом;7,4;7,4;20,1;20,1;2695;18,5;1,087930738
32;Нефть и нефтепродукты;2022;внутрироссийское;в целом;129,0;129,0;213,2;213,2;1612;211,1;1,009970995
33;Руды металлические;2022;внутрироссийское;в целом;114,8;114,8;117,1;117,1;1015;115,9;1,009993996
